,index,Source airport,Source airport ID,Destination airport,Destination airport ID,Source iata,Source long,Source lat,Dest iata,Dest long,Dest lat
7877,9019,ATL,3682,AGS,3658,ATL,-84.4281005859375,33.6366996765136,AGS,-81.9645004272461,33.3698997497558
34751,63370,YNA,94,ZKG,8217,YNA,-61.7891998291015,50.1899986267089,ZKG,-61.2658004761,50.1958007812
790,838,MIG,6400,LJG,4033,MIG,104.740997314453,31.4281005859375,LJG,100.246002197,26.6800003052
11579,14941,LRM,1759,SJU,2890,LRM,-68.9117965698242,18.4507007598876,SJU,-66.0018005371,18.4393997192
30430,51381,JED,2072,AZD,2164,JED,39.156502,21.6796,AZD,54.2765007019,31.9048995972
16863,23294,MEL,3339,AKL,2006,MEL,144.843002319335,-37.6733016967773,AKL,174.792007446,-37.0080986022999
17723,24670,PNH,3034,DMK,3157,PNH,104.844001770019,11.5466003417968,DMK,100.607002258,13.9125995636
34113,62546,LOS,273,ABV,260,LOS,3.3211600780487,6.57737016677856,ABV,7.26316976547241,9.00679016113281
21615,29491,SHJ,2191,HOF,2060,SHJ,55.5172004699707,25.3285999298095,HOF,49.4851989746093,25.2852993011474
9366,11066,MEX,1824,CVM,1798,MEX,-99.072098,19.4363,CVM,-98.9564971924,23.7033004761
24190,34943,CHC,2009,WLG,2042,CHC,172.531997680664,-43.4893989562988,WLG,174.804992676,-41.3272018433
33910,61525,PXU,6194,SGN,3205,PXU,108.016998291015,14.0045003890991,SGN,106.652000427,10.8187999725
26824,41460,CTU,3395,BKK,3885,CTU,103.946998596191,30.5785007476806,BKK,100.747001647949,13.6810998916625
32268,55675,OVB,4078,HRB,3400,OVB,82.650703430176,55.012599945068,HRB,126.25,45.6234016418457
6737,7733,VCE,1551,TXL,351,VCE,12.3519,45.505299,TXL,13.2876996994,52.5597000122
23240,32703,MAD,1229,LDE,1276,MAD,-3.56264,40.471926,LDE,-0.0064389999024569,43.1786994934082
9173,10746,KUL,3304,HAN,3199,KUL,101.70999908447,2.745579957962,HAN,105.806999206542,21.2212009429931
31243,53249,LYS,1335,HER,1452,LYS,5.0811111,45.7255556,HER,25.1802997589,35.3396987915
11079,14057,JFK,3797,BUR,3644,JFK,-73.77890015,40.63980103,BUR,-118.359001159667,34.200698852539
31623,54386,AGA,1064,LYS,1335,AGA,-9.41306972503662,30.3250007629394,LYS,5.0811111,45.7255556
6557,7499,NUE,347,IBZ,1225,NUE,11.0780556,49.498699,IBZ,1.37311995028999,38.8728981018
22709,31772,CPH,609,EIN,585,CPH,12.656000137329,55.617900848389,EIN,5.37452983856,51.4500999451
35666,66248,DHI,4188,KTM,3125,DHI,80.5819015502929,28.7532997131347,KTM,85.3591003417999,27.6965999603
240,257,UDI,2633,UBA,2635,UDI,-48.2252769470214,-18.8836116790771,UBA,-47.966110229492,-19.764722824097
31370,53732,LIS,1638,NCE,1354,LIS,-9.13591957092,38.7812995911,NCE,7.21586990356,43.6584014893
15437,21336,MSO,4216,SLC,3536,MSO,-114.0910034,46.91630173,SLC,-111.977996826171,40.7883987426757
18441,25838,AGP,1230,BRE,353,AGP,-4.49911022186279,36.6749000549316,BRE,8.78666973114,53.0475006104
11161,14166,MCO,3878,SYR,3745,MCO,-81.3089981079101,28.4293994903564,SYR,-76.1063003540039,43.1111984252929
28370,45709,USM,3177,KBV,3174,USM,100.06199646,9.54778957366999,KBV,98.9861984253,8.09912014008
5342,6158,MXP,1524,JFK,3797,MXP,8.72811,45.6306,JFK,-73.77890015,40.63980103
3339,3945,AUH,2179,CCJ,3137,AUH,54.6511001586914,24.4330005645751,CCJ,75.9552993774,11.1367998123
23538,33335,OMS,2958,DYU,2979,OMS,73.3105010986328,54.966999053955,DYU,68.8249969482,38.5433006286999
16786,23190,DXB,2188,KUL,3304,DXB,55.3643989563,25.2527999878,KUL,101.70999908447,2.745579957962
1664,1769,SJO,1885,GLF,1879,SJO,-84.2088012695312,9.99386024475097,GLF,-83.1821975708007,8.65400981903076
15035,20526,DAY,3627,DTW,3645,DAY,-84.2193984985351,39.9024009704589,DTW,-83.353401184082,42.2123985290527
26759,41270,HRE,1005,DAR,1177,HRE,31.0928001403808,-17.9318008422851,DAR,39.2025985717999,-6.87810993195
30975,52621,IST,1701,RIX,3953,IST,28.8145999907999,40.9768981934,RIX,23.9710998535156,56.923599243164
12614,16394,HKG,3077,PEK,3364,HKG,113.915000916,22.3089008331,PEK,116.584999084472,40.0801010131835
15416,21290,MGA,1863,ATL,3682,MGA,-86.1681976318359,12.1415004730224,ATL,-84.4281005859375,33.6366996765136
26464,40072,BEY,2177,OTP,1657,BEY,35.4883995056152,33.8208999633789,OTP,26.085,44.5711111
4784,5578,ISP,3857,PHL,3752,ISP,-73.10019684,40.79520035,PHL,-75.241096496582,39.871898651123
34050,61979,SLP,1842,MFE,3826,SLP,-100.930999756,22.2542991638,MFE,-98.23860168,26.17580032
1590,1660,TXL,351,PRN,1742,TXL,13.2876996994,52.5597000122,PRN,21.035801,42.5728
6597,7553,PMI,3998,INN,1610,PMI,2.73881006241,39.551700592,INN,11.344,47.260201
